,,,,,,,,,,,,,,,,Code,Stock,Open,Last,Prv Close,Chg,High,Low,Y-High,Y-Low,Vol,DY*,B%,Vol MA (20),RSI (14),"MACD (26, 12)",EPS*,P/E,Status ,Sector
01663I,INARI-C3I,0.055,0.055,0.055,-,0.055,0.055,0.135,0.03,2319,,22,1943920,23%,-0.005,,,Active,,,,,,,,,,,,,,,,,INARI-C3I
01663P,INARI-C3P,,,0.035,,-,-,0.055,0.03,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,INARI-C3P
0150PA,FINTEC-PA,,,0.035,,-,-,0.145,0.03,0,,-,7440,26%,-0.019,,,Active,,,,,,,,,,,,,,,,,FINTEC-PA
0193CI,KAB-CI,,,0.03,,-,-,0.035,0.03,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,KAB-CI
0225CA,SCGBHD-CA,,,0.34,,-,-,0.34,0.03,0,,-,194160,64%,0.036,,,Active,,,,,,,,,,,,,,,,,SCGBHD-CA
0270CQ,NATGATE-CQ,,,0.03,,-,-,0.11,0.03,0,,-,1917755,23%,-0.009,,,Active,,,,,,,,,,,,,,,,,NATGATE-CQ
03028,GOINNO,,,0.03,,-,-,0.07,0.03,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,GOINNO
058924,JDCOM-C24,0.03,0.03,0.03,-,0.03,0.03,0.165,0.03,1000,,100,114400,33%,-0.021,,,Active,,,,,,,,,,,,,,,,,JDCOM-C24
058333,MEITUAN-C33,,,0.03,,-,-,0.18,0.03,0,,-,203870,29%,-0.02,,,Active,,,,,,,,,,,,,,,,,MEITUAN-C33
058245,ALIBABA-C45,0.04,0.04,0.05,-0.01,0.04,0.04,0.165,0.03,600,,100,135745,50%,-0.004,,,Active,,,,,,,,,,,,,,,,,ALIBABA-C45
0652GL,HSI-CWGL,,,0.03,,-,-,0.22,0.03,0,,-,1276170,29%,,,,Active,,,,,,,,,,,,,,,,,HSI-CWGL
0652GM,HSI-CWGM,0.03,0.03,0.03,-,0.035,0.025,0.41,0.03,52674,,36,11372215,32%,-0.054,,,Active,,,,,,,,,,,,,,,,,HSI-CWGM
0652FG,HSI-PWFG,0.035,0.035,0.04,-0.005,0.035,0.035,0.485,0.03,100,,100,55745,43%,-0.02,,,Active,,,,,,,,,,,,,,,,,HSI-PWFG
0652HK,HSI-PWHK,,,0.03,,-,-,0.125,0.03,0,,-,-,25%,,,,Active,,,,,,,,,,,,,,,,,HSI-PWHK
0652H7,HSI-PWH7,0.03,0.03,0.03,-,0.03,0.03,0.1,0.03,100,,-,-,27%,,,,Active,,,,,,,,,,,,,,,,,HSI-PWH7
0652JQ,HSI-PWJQ,,,0.03,,-,-,0.05,0.03,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,HSI-PWJQ
0709C6,GLDHK-C6,,,0.03,,-,-,0.065,0.03,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,GLDHK-C6
065723,HSTECH-H23,,,0.03,,-,-,0.125,0.03,0,,-,-,23%,,,,Active,,,,,,,,,,,,,,,,,HSTECH-H23
0654HN,NIKKEI-HN,,,0.005,,-,-,0.305,0.03,0,,-,33070,22%,-0.049,,,Active,,,,,,,,,,,,,,,,,NIKKEI-HN
101552,AMBANK-C52,,,0.03,,-,-,0.1,0.03,0,,-,177750,46%,,,,Active,,,,,,,,,,,,,,,,,AMBANK-C52
106662,RHBBANKC62,,,0.03,,-,-,0.13,0.03,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,RHBBANKC62
106667,RHBBANKC67,0.06,0.065,0.06,+0.005,0.065,0.06,0.075,0.03,3709,,53,-,73%,,,,Active,,,,,,,,,,,,,,,,,RHBBANKC67
12951S,PBBANK-C1S,,,0.045,,-,-,0.08,0.03,0,,-,-,39%,,,,Active,,,,,,,,,,,,,,,,,PBBANK-C1S
2097WB,MBRIGHT-WB,,,0.04,,-,-,0.085,0.03,0,,-,1114725,44%,-0.003,,,Active,,,,,,,,,,,,,,,,,MBRIGHT-WB
285264,CMSB-C64,0.04,0.04,0.035,+0.005,0.04,0.04,0.1,0.03,100,,-,144780,13%,-0.005,,,Active,,,,,,,,,,,,,,,,,CMSB-C64
3565CK,WCEHB-CK,0.03,0.03,0.03,-,0.03,0.03,0.05,0.03,350,,100,114850,43%,,,,Active,,,,,,,,,,,,,,,,,WCEHB-CK
445640,DNEX-C40,,,0.03,,-,-,0.06,0.03,0,,-,117210,33%,-0.002,,,Active,,,,,,,,,,,,,,,,,DNEX-C40
445642,DNEX-C42,0.03,0.03,0.03,-,0.03,0.03,0.15,0.03,588,,57,-,0%,,,,Active,,,,,,,,,,,,,,,,,DNEX-C42
4383C5,JTIASA-C5,,,0.045,,-,-,0.06,0.03,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,JTIASA-C5
419795,SIME-C95,0.04,0.04,0.045,-0.005,0.04,0.04,0.065,0.03,2025,,-,530640,50%,,,,Active,,,,,,,,,,,,,,,,,SIME-C95
47153H,GENM-C3H,,,0.04,,-,-,0.06,0.03,0,,-,793075,45%,,,,Active,,,,,,,,,,,,,,,,,GENM-C3H
47153J,GENM-C3J,,,0.075,,-,-,0.09,0.03,0,,-,613100,40%,0.001,,,Active,,,,,,,,,,,,,,,,,GENM-C3J
47153P,GENM-C3P,,,0.045,,-,-,0.05,0.03,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,GENM-C3P
48631W,TM-C1W,,,0.05,,-,-,0.095,0.03,0,,-,385730,58%,0.001,,,Active,,,,,,,,,,,,,,,,,TM-C1W
46771N,YTL-C1N,,,0.215,,-,-,0.215,0.03,0,,-,70700,66%,0.019,,,Active,,,,,,,,,,,,,,,,,YTL-C1N
5062WA,HUAYANG-WA,,,0.075,,-,-,0.13,0.03,0,,-,91080,43%,-0.001,,,Active,,,,,,,,,,,,,,,,,HUAYANG-WA
51682Y,HARTA-C2Y,,,0.03,,-,-,0.045,0.03,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,HARTA-C2Y
5162CB,VSTECS-CB,,,0.04,,-,-,0.17,0.03,0,,-,87290,22%,-0.033,,,Active,,,,,,,,,,,,,,,,,VSTECS-CB
5162CC,VSTECS-CC,,,0.05,,-,-,0.05,0.03,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,VSTECS-CC
518523,AFFIN-C23,0.025,0.025,0.03,-0.005,0.025,0.025,0.15,0.03,5400,,93,-,0%,,,,Active,,,,,,,,,,,,,,,,,AFFIN-C23
518524,AFFIN-C24,,,0.04,,-,-,0.04,0.03,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,AFFIN-C24
51831J,PCHEM-C1J,0.23,0.255,0.22,+0.035,0.255,0.22,0.25,0.03,29153,,51,872605,71%,0.015,,,Active,,,,,,,,,,,,,,,,,PCHEM-C1J
5202C5,MSM-C5,0.03,0.03,0.035,-0.005,0.03,0.03,0.13,0.03,2900,,90,220995,44%,-0.004,,,Active,,,,,,,,,,,,,,,,,MSM-C5
5202C8,MSM-C8,,,0.03,,-,-,0.045,0.03,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,MSM-C8
519981,HIBISCS-C81,,,0.03,,-,-,0.045,0.03,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,HIBISCS-C81
522553,IHH-C53,,,0.04,,-,-,0.07,0.03,0,,-,-,37%,,,,Active,,,,,,,,,,,,,,,,,IHH-C53
5218,VANTNRG,0.71,0.695,0.705,-0.01,0.71,0.69,0.76,0.03,16158,,28,14983440,97%,0.052,1.03,9.37,"Active, Alert",,,,,,,,,,,,,,,,,VANTNRG
524934,IOIPG-C34,,,0.04,,-,-,0.065,0.03,0,,-,1947870,40%,,,,Active,,,,,,,,,,,,,,,,,IOIPG-C34
524936,IOIPG-C36,0.045,0.045,0.05,-0.005,0.045,0.045,0.09,0.03,200,,-,346370,17%,0.001,,,Active,,,,,,,,,,,,,,,,,IOIPG-C36
524341,VELESTO-C41,0.035,0.035,0.035,-,0.035,0.035,0.04,0.03,5000,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,VELESTO-C41
529641,MRDIY-C41,0.035,0.035,0.03,+0.005,0.035,0.035,0.13,0.03,1,,100,865295,18%,-0.011,,,Active,,,,,,,,,,,,,,,,,MRDIY-C41
530120,CTOS-C20,,,0.03,,-,-,0.055,0.03,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,CTOS-C20
5323CH,JPG-CH,0.04,0.04,0.045,-0.005,0.04,0.04,0.06,0.03,80,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,JPG-CH
53983B,GAMUDA-C3B,0.29,0.305,0.285,+0.020,0.31,0.29,0.315,0.03,650,,96,949410,75%,0.034,,,Active,,,,,,,,,,,,,,,,,GAMUDA-C3B
708412,QL-C12,,,0.03,,-,-,0.09,0.03,0,,-,215485,26%,-0.012,,,Active,,,,,,,,,,,,,,,,,QL-C12
7073,SEACERA,,,0.06,,-,-,0.22,0.03,0,,-,2843685,27%,-0.025,0.58,10.4,Suspended,,,,,,,,,,,,,,,,,SEACERA
7070,VIZIONE,0.075,0.075,0.08,-0.005,0.08,0.075,0.23,0.03,497,,86,104700,55%,-0.001,0.1,21.64,Active,,,,,,,,,,,,,,,,,VIZIONE
715382,KOSSAN-C82,0.03,0.04,0.035,+0.005,0.04,0.03,0.075,0.03,3201,,6,-,0%,,,,Active,,,,,,,,,,,,,,,,,KOSSAN-C82
7123,MAXLAND,0.035,0.035,0.035,-,0.035,0.035,0.095,0.03,170,,-,84225,40%,,1.35,3.45,Active,,,,,,,,,,,,,,,,,MAXLAND
72772E,DIALOG-C2E,,,0.08,,-,-,0.08,0.03,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,DIALOG-C2E
72772B,DIALOG-C2B,,,0.12,,-,-,0.125,0.03,0,,-,327950,72%,0.014,,,Active,,,,,,,,,,,,,,,,,DIALOG-C2B
72772C,DIALOG-C2C,0.09,0.09,0.115,-0.025,0.09,0.09,0.12,0.03,300,,100,416130,78%,,,,Active,,,,,,,,,,,,,,,,,DIALOG-C2C
7252CE,TEOSENG-CE,0.035,0.035,0.035,-,0.035,0.035,0.11,0.03,200,,100,121615,40%,-0.005,,,Active,,,,,,,,,,,,,,,,,TEOSENG-CE
7943WC,MPIRE-WC,,,0.065,,-,-,0.12,0.03,0,,-,1336070,50%,,,,Active,,,,,,,,,,,,,,,,,MPIRE-WC
858378,MAHSING-C78,,,0.035,,-,-,0.055,0.03,0,,-,1227970,29%,,,,Active,,,,,,,,,,,,,,,,,MAHSING-C78
8583HA,MAHSING-HA,0.03,0.03,0.03,-,0.03,0.03,0.05,0.03,4000,,100,-,33%,,,,Active,,,,,,,,,,,,,,,,,MAHSING-HA
866499,SPSETIA-C99,0.03,0.03,0.03,-,0.03,0.03,0.06,0.03,4000,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,SPSETIA-C99
8885,AVI,0.075,0.075,0.075,-,0.075,0.07,0.08,0.03,32406,,76,4289540,82%,0.008,-0.59,,Active,,,,,,,,,,,,,,,,,AVI
887768,EKOVEST-C68,0.09,0.09,0.09,-,0.09,0.09,0.125,0.03,800,,-,1938270,58%,0.018,,,Active,,,,,,,,,,,,,,,,,EKOVEST-C68
887773,EKOVEST-C73,,,0.03,,-,-,0.055,0.03,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,EKOVEST-C73
88691V,PMETAL-C1V,0.16,0.16,0.125,+0.035,0.16,0.16,0.155,0.03,100,,100,47835,50%,0.017,,,Active,,,,,,,,,,,,,,,,,PMETAL-C1V
967939,WCT-C39,0.045,0.045,0.045,-,0.045,0.045,0.06,0.03,550,,-,460610,50%,,,,Active,,,,,,,,,,,,,,,,,WCT-C39
0084,FAST,,,0.045,,-,-,0.075,0.035,0,,-,293600,50%,,-4.77,,Active,,,,,,,,,,,,,,,,,FAST
0069,VINVEST,0.04,0.04,0.04,-,0.04,0.04,0.08,0.035,18327,,100,1065685,40%,-0.001,0.78,,Active,,,,,,,,,,,,,,,,,VINVEST
012840,FRONTKN-C40,0.075,0.075,0.08,-0.005,0.075,0.075,0.105,0.035,200,,-,1450690,55%,0.004,,,Active,,,,,,,,,,,,,,,,,FRONTKN-C40
0126WA,MICROLN-WA,,,0.04,,-,-,0.055,0.035,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,MICROLN-WA
0132,TDEX,0.04,0.045,0.04,+0.005,0.045,0.04,0.065,0.035,201,,100,602035,50%,-0.001,-0.77,,Active,,,,,,,,,,,,,,,,,TDEX
0104CN,GENETEC-CN,0.035,0.035,0.035,-,0.035,0.035,0.135,0.035,200,,100,-,0%,,,,Active,,,,,,,,,,,,,,,,,GENETEC-CN
01388S,ZETRIX-C8S,,,0.04,,-,-,0.065,0.035,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,ZETRIX-C8S
01388U,ZETRIX-C8U,,,0.04,,-,-,0.06,0.035,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,ZETRIX-C8U
01389L,ZETRIX-C9L,0.04,0.04,0.035,+0.005,0.04,0.04,0.045,0.035,200,,100,-,0%,,,,Active,,,,,,,,,,,,,,,,,ZETRIX-C9L
01388I,ZETRIX-C8I,,,0.05,,-,-,0.085,0.035,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,ZETRIX-C8I
01388L,ZETRIX-C8L,,,0.045,,-,-,0.085,0.035,0,,-,419870,35%,,,,Active,,,,,,,,,,,,,,,,,ZETRIX-C8L
0151CL,KGB-CL,0.315,0.315,0.235,+0.080,0.315,0.315,0.235,0.035,35,,100,237190,82%,0.029,,,Active,,,,,,,,,,,,,,,,,KGB-CL
0176WA,KRONO-WA,0.035,0.04,0.04,-,0.04,0.035,0.14,0.035,791,,-,71570,40%,-0.003,,,Active,,,,,,,,,,,,,,,,,KRONO-WA
0225CC,SCGBHD-CC,0.215,0.215,0.215,-,0.215,0.215,0.215,0.035,10000,,50,109130,83%,0.033,,,Active,,,,,,,,,,,,,,,,,SCGBHD-CC
020817,GREATEC-C17,0.235,0.235,0.23,+0.005,0.235,0.235,0.29,0.035,150,,100,658580,63%,0.025,,,Active,,,,,,,,,,,,,,,,,GREATEC-C17
0270CP,NATGATE-CP,0.035,0.035,0.035,-,0.035,0.035,0.16,0.035,690,,-,394365,20%,-0.014,,,Active,,,,,,,,,,,,,,,,,NATGATE-CP
0288WA,MINOX-WA,0.04,0.045,0.04,+0.005,0.045,0.04,0.07,0.035,32450,,85,232025,50%,,,,Active,,,,,,,,,,,,,,,,,MINOX-WA
054645,TENCENT-C45,,,0.07,,-,-,0.215,0.035,0,,-,462600,64%,-0.011,,,Active,,,,,,,,,,,,,,,,,TENCENT-C45
0650B4,FBMKLCI-HB4,0.03,0.03,0.035,-0.005,0.03,0.03,0.505,0.035,2740,,68,214105,18%,-0.033,,,Active,,,,,,,,,,,,,,,,,FBMKLCI-HB4
0650B8,FBMKLCI-HB8,0.035,0.035,0.04,-0.005,0.035,0.035,0.155,0.035,7007,,50,417965,21%,-0.017,,,Active,,,,,,,,,,,,,,,,,FBMKLCI-HB8
0652EF,HSI-CWEF,0.195,0.215,0.19,+0.025,0.215,0.195,0.27,0.035,1205,,88,208460,46%,0.006,,,Active,,,,,,,,,,,,,,,,,HSI-CWEF
0652EN,HSI-CWEN,,,0.32,,-,-,0.345,0.035,0,,-,47810,61%,0.03,,,Active,,,,,,,,,,,,,,,,,HSI-CWEN
0652HY,HSI-PWHY,0.04,0.04,0.045,-0.005,0.04,0.04,0.14,0.035,120,,17,42575,43%,-0.013,,,Active,,,,,,,,,,,,,,,,,HSI-PWHY
0652JJ,HSI-PWJJ,,,0.035,,-,-,0.04,0.035,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,HSI-PWJJ
1368CS,EDGENTA-CS,,,0.04,,-,-,0.13,0.035,0,,-,390330,50%,-0.003,,,Active,,,,,,,,,,,,,,,,,EDGENTA-CS
117186,MBSB-C86,0.035,0.03,0.035,-0.005,0.035,0.03,0.045,0.035,500,,-,-,33%,,,,Active,,,,,,,,,,,,,,,,,MBSB-C86
11551Z,MAYBANKC1Z,0.04,0.04,0.04,-,0.04,0.04,0.055,0.035,2000,,100,223910,33%,-0.001,,,Active,,,,,,,,,,,,,,,,,MAYBANKC1Z
181893,BURSA-C93,,,0.04,,-,-,0.09,0.035,0,,-,43440,23%,-0.007,,,Active,,,,,,,,,,,,,,,,,BURSA-C93
16193Q,DRBHCOMC3Q,,,0.045,,-,-,0.1,0.035,0,,-,213520,29%,,,,Active,,,,,,,,,,,,,,,,,DRBHCOMC3Q
16511O,MRCB-C1O,,,0.045,,-,-,0.065,0.035,0,,-,548600,41%,0.004,,,Active,,,,,,,,,,,,,,,,,MRCB-C1O
1651WB,MRCB-WB,0.04,0.045,0.04,+0.005,0.045,0.04,0.105,0.035,15,,-,809445,40%,,,,Active,,,,,,,,,,,,,,,,,MRCB-WB
285266,CMSB-C66,0.04,0.035,0.04,-0.005,0.04,0.035,0.1,0.035,2500,,40,438925,32%,-0.001,,,Active,,,,,,,,,,,,,,,,,CMSB-C66
244538,KLK-C38,0.045,0.05,0.04,+0.010,0.05,0.045,0.09,0.035,1620,,100,123975,36%,-0.014,,,Active,,,,,,,,,,,,,,,,,KLK-C38
3069C4,MFCB-C4,0.035,0.035,0.035,-,0.035,0.035,0.05,0.035,930,,100,-,0%,,,,Active,,,,,,,,,,,,,,,,,MFCB-C4
341721,E&O-C21,,,0.04,,-,-,0.075,0.035,0,,-,184365,37%,-0.003,,,Active,,,,,,,,,,,,,,,,,E&O-C21
3557WD,ECOFIRS-WD,0.045,0.05,0.045,+0.005,0.055,0.045,0.09,0.035,508,,57,138460,44%,0.001,,,Active,,,,,,,,,,,,,,,,,ECOFIRS-WD
47153G,GENM-C3G,,,0.035,,-,-,0.035,0.035,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,GENM-C3G
4677HG,YTL-HG,0.035,0.035,0.035,-,0.035,0.035,0.115,0.035,4020,,-,354660,29%,-0.008,,,Active,,,,,,,,,,,,,,,,,YTL-HG
510226,GCB-C26,,,0.035,,-,-,0.065,0.035,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,GCB-C26
5079WA,ONEGLOVE-WA,,,0.07,,-,-,0.1,0.035,0,,-,80190,53%,,,,Active,,,,,,,,,,,,,,,,,ONEGLOVE-WA
514149,DAYANG-C49,,,0.09,,-,-,0.16,0.035,0,,-,181800,47%,,,,Active,,,,,,,,,,,,,,,,,DAYANG-C49
5104,CNH,,,0.05,,-,-,0.06,0.035,0,,-,126495,63%,0.001,-0.28,,Active,,,,,,,,,,,,,,,,,CNH
510227,GCB-C27,,,0.035,,-,-,0.05,0.035,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,GCB-C27
5169,HOHUP,0.07,0.07,0.07,-,0.07,0.07,0.205,0.035,1700,,-,288360,86%,0.004,-14.48,,"Active, Alert",,,,,,,,,,,,,,,,,HOHUP
5152WB,MBL-WB,,,0.08,,-,-,0.12,0.035,0,,-,24460,45%,,,,Active,,,,,,,,,,,,,,,,,MBL-WB
520211,MSM-C11,,,0.035,,-,-,0.035,0.035,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,MSM-C11
519979,HIBISCS-C79,0.035,0.035,0.035,-,0.035,0.035,0.095,0.035,400,,-,153440,34%,,,,Active,,,,,,,,,,,,,,,,,HIBISCS-C79
5219WA,PESTEC-WA,0.035,0.04,0.04,-,0.04,0.035,0.11,0.035,542,,1,481085,36%,-0.005,,,Active,,,,,,,,,,,,,,,,,PESTEC-WA
521667,NEXG-C67,,,0.055,,-,-,0.14,0.035,0,,-,1457970,39%,-0.006,,,Active,,,,,,,,,,,,,,,,,NEXG-C67
524630,WPRTS-C30,,,0.23,,-,-,0.26,0.035,0,,-,69600,53%,0.015,,,Active,,,,,,,,,,,,,,,,,WPRTS-C30
5284CX,LCTITAN-CX,0.08,0.085,0.08,+0.005,0.095,0.08,0.15,0.035,10811,,39,1304005,33%,0.001,,,Active,,,,,,,,,,,,,,,,,LCTITAN-CX
526344,SUNCON-C44,0.08,0.085,0.07,+0.015,0.09,0.075,0.125,0.035,53337,,67,1243560,67%,-0.006,,,Active,,,,,,,,,,,,,,,,,SUNCON-C44
528628,MI-C28,0.075,0.075,0.07,+0.005,0.075,0.07,0.085,0.035,9590,,31,197560,67%,0.004,,,Active,,,,,,,,,,,,,,,,,MI-C28
5337CB,ECOSHOP-CB,0.065,0.065,0.065,-,0.065,0.06,0.095,0.035,1082,,81,2753500,55%,0.002,,,Active,,,,,,,,,,,,,,,,,ECOSHOP-CB
5337CE,ECOSHOP-CE,,,0.045,,-,-,0.05,0.035,0,,-,777220,67%,0.001,,,Active,,,,,,,,,,,,,,,,,ECOSHOP-CE
53983G,GAMUDA-C3G,0.19,0.18,0.185,-0.005,0.19,0.18,0.19,0.035,2000,,-,292585,77%,0.017,,,Active,,,,,,,,,,,,,,,,,GAMUDA-C3G
53473F,TENAGA-C3F,,,0.04,,-,-,0.065,0.035,0,,-,-,33%,,,,Active,,,,,,,,,,,,,,,,,TENAGA-C3F
5337CM,ECOSHOP-CM,0.04,0.04,0.04,-,0.04,0.04,0.05,0.035,10004,,54,4089580,43%,0.001,,,Active,,,,,,,,,,,,,,,,,ECOSHOP-CM
587821,KPJ-C21,0.065,0.06,0.065,-0.005,0.065,0.06,0.17,0.035,6000,,17,772335,58%,0.003,,,Active,,,,,,,,,,,,,,,,,KPJ-C21
601253,MAXIS-C53,0.04,0.05,0.035,+0.015,0.05,0.04,0.14,0.035,1060,,86,72400,19%,-0.007,,,Active,,,,,,,,,,,,,,,,,MAXIS-C53
5983C8,MBMR-C8,0.045,0.05,0.04,+0.010,0.055,0.04,0.155,0.035,4650,,57,-,0%,,,,Active,,,,,,,,,,,,,,,,,MBMR-C8
674283,YTLPOWR-C83,0.1,0.1,0.1,-,0.1,0.1,0.12,0.035,11264,,31,1098630,56%,0.002,,,Active,,,,,,,,,,,,,,,,,YTLPOWR-C83
6742HH,YTLPOWR-HH,0.035,0.035,0.04,-0.005,0.035,0.035,0.095,0.035,500,,-,453940,37%,-0.006,,,Active,,,,,,,,,,,,,,,,,YTLPOWR-HH
663330,LHI-C30,,,0.035,,-,-,0.05,0.035,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,LHI-C30
663331,LHI-C31,,,0.05,,-,-,0.07,0.035,0,,-,95000,40%,,,,Active,,,,,,,,,,,,,,,,,LHI-C31
7013,HUBLINE,0.04,0.04,0.04,-,0.04,0.035,0.085,0.035,2248,,98,2585490,67%,,0.07,45.99,Active,,,,,,,,,,,,,,,,,HUBLINE
696395,VS-C95,,,0.035,,-,-,0.085,0.035,0,,-,1102860,42%,-0.003,,,Active,,,,,,,,,,,,,,,,,VS-C95
696396,VS-C96,,,0.035,,-,-,0.07,0.035,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,VS-C96
7146,AEM,0.04,0.04,0.045,-0.005,0.04,0.04,0.115,0.035,110,,-,1136565,55%,,-6.84,,Active,,,,,,,,,,,,,,,,,AEM
7154,CLASSITA,0.08,0.08,0.08,-,0.085,0.075,0.105,0.035,219839,,67,22730730,54%,0.002,-0.26,,Active,,,,,,,,,,,,,,,,,CLASSITA
7165,VELOCITY,0.06,0.06,0.06,-,0.06,0.06,0.105,0.035,4838,,16,888295,43%,-0.001,0.71,8.45,Active,,,,,,,,,,,,,,,,,VELOCITY
7228WD,T7GLOBAL-WD,0.035,0.035,0.035,-,0.035,0.035,0.13,0.035,1320,,-,136805,37%,,,,Active,,,,,,,,,,,,,,,,,T7GLOBAL-WD
887769,EKOVEST-C69,,,0.1,,-,-,0.16,0.035,0,,-,3705555,47%,0.004,,,Active,,,,,,,,,,,,,,,,,EKOVEST-C69
9776,SMCAP,0.045,0.045,0.045,-,0.045,0.045,0.085,0.035,550,,-,109445,50%,,-3.11,,Active,,,,,,,,,,,,,,,,,SMCAP
0102,WAJA,0.055,0.06,0.06,-,0.06,0.05,0.085,0.04,29823,,36,619725,63%,0.001,0.08,15.52,"Active, Alert",,,,,,,,,,,,,,,,,WAJA
0060WD,HM-WD,,,0.075,,-,-,0.1,0.04,0,,-,345870,33%,-0.004,,,Active,,,,,,,,,,,,,,,,,HM-WD
0104CP,GENETEC-CP,0.04,0.04,0.04,-,0.04,0.04,0.045,0.04,1500,,67,-,0%,,,,Active,,,,,,,,,,,,,,,,,GENETEC-CP
0222WA,OPTIMAX-WA,0.08,0.1,0.085,+0.015,0.1,0.08,0.21,0.04,926,,100,211935,67%,0.012,,,Active,,,,,,,,,,,,,,,,,OPTIMAX-WA
0270CT,NATGATE-CT,0.035,0.035,0.04,-0.005,0.035,0.035,0.175,0.04,268,,100,558515,7%,-0.016,,,Active,,,,,,,,,,,,,,,,,NATGATE-CT
0259CH,SNS-CH,,,0.045,,-,-,0.075,0.04,0,,-,474420,44%,-0.002,,,Active,,,,,,,,,,,,,,,,,SNS-CH
054834,BYD-C34,,,0.04,,-,-,0.235,0.04,0,,-,47220,31%,-0.019,,,Active,,,,,,,,,,,,,,,,,BYD-C34
0650B9,FBMKLCI-HB9,,,0.04,,-,-,0.12,0.04,0,,-,248500,7%,,,,Active,,,,,,,,,,,,,,,,,FBMKLCI-HB9
0652C8,HSI-CWC8,,,0.285,,-,-,0.33,0.04,0,,-,70560,68%,0.016,,,Active,,,,,,,,,,,,,,,,,HSI-CWC8
0652HW,HSI-PWHW,,,0.045,,-,-,0.205,0.04,0,,-,-,24%,,,,Active,,,,,,,,,,,,,,,,,HSI-PWHW
065726,HSTECH-C26,,,0.045,,-,-,0.165,0.04,0,,-,4192545,31%,,,,Active,,,,,,,,,,,,,,,,,HSTECH-C26
101553,AMBANK-C53,0.045,0.045,0.045,-,0.045,0.045,0.065,0.04,6000,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,AMBANK-C53
12951W,PBBANK-C1W,,,0.065,,-,-,0.07,0.04,0,,-,-,59%,,,,Active,,,,,,,,,,,,,,,,,PBBANK-C1W
31823X,GENTINGC3X,0.04,0.04,0.04,-,0.04,0.04,0.07,0.04,43500,,21,1938495,29%,-0.004,,,Active,,,,,,,,,,,,,,,,,GENTINGC3X
31823S,GENTINGC3S,0.04,0.04,0.04,-,0.04,0.04,0.135,0.04,100,,100,347425,23%,-0.007,,,Active,,,,,,,,,,,,,,,,,GENTINGC3S
48631S,TM-C1S,,,0.12,,-,-,0.15,0.04,0,,-,227765,70%,0.01,,,Active,,,,,,,,,,,,,,,,,TM-C1S
46771L,YTL-C1L,0.13,0.135,0.135,-,0.135,0.13,0.14,0.04,18412,,96,783735,73%,0.008,,,Active,,,,,,,,,,,,,,,,,YTL-C1L
510224,GCB-C24,0.04,0.04,0.04,-,0.04,0.04,0.1,0.04,2180,,100,272700,29%,,,,Active,,,,,,,,,,,,,,,,,GCB-C24
5068,LUSTER,0.045,0.05,0.05,-,0.05,0.045,0.09,0.04,3872,,-,614810,100%,,0.2,26.93,Active,,,,,,,,,,,,,,,,,LUSTER
5151CO,HEXTAR-CO,,,0.045,,-,-,0.05,0.04,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,HEXTAR-CO
51481P,UEMS-C1P,0.05,0.045,0.05,-0.005,0.05,0.045,0.095,0.04,15500,,16,125570,44%,-0.004,,,Active,,,,,,,,,,,,,,,,,UEMS-C1P
51481S,UEMS-C1S,,,0.06,,-,-,0.08,0.04,0,,-,-,41%,,,,Active,,,,,,,,,,,,,,,,,UEMS-C1S
5187,HBGLOB,0.045,0.05,0.05,-,0.05,0.045,0.125,0.04,440,,100,260425,60%,,-0.28,,Active,,,,,,,,,,,,,,,,,HBGLOB
